         115803721 function calls (114589721 primitive calls) in 232.882 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1678801    1.658    0.000    1.658    0.000 {built-in method numpy.empty}
  1118800    1.388    0.000    1.388    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/_core/_internal.py:539(_view_is_safe)
   279400    0.911    0.000    1.358    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/_core/shape_base.py:80(atleast_2d)
  1118803    1.128    0.000    1.128    0.000 {method 'transpose' of 'numpy.ndarray' objects}
  2936400    1.099    0.000    1.099    0.000 {method 'append' of 'list' objects}
    20000    0.426    0.000    0.770    0.000 /app/src/mtflib/taylor_function.py:775(_split_constant_polynomial_part)
  2237610    0.761    0.000    0.761    0.000 {built-in method numpy.lib.array_utils.normalize_axis_index}
  2237601    0.711    0.000    0.711    0.000 {built-in method numpy.promote_types}
   320000    0.169    0.000    0.654    0.000 <frozen abc>:117(__instancecheck__)
   279400    0.219    0.000    0.648    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/_core/shape_base.py:216(_vhstack_dispatcher)
  2619202    0.589    0.000    0.589    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2333(_sum_dispatcher)
  1118803    0.562    0.000    0.562    0.000 {method 'insert' of 'list' objects}
    20000    0.280    0.000    0.548    0.000 /app/src/mtflib/taylor_function.py:583(extract_coefficient)
  2237606    0.521    0.000    0.521    0.000 {built-in method _operator.index}
   320000    0.362    0.000    0.484    0.000 {built-in method _abc._abc_instancecheck}
  1739400    0.476    0.000    0.476    0.000 {built-in method builtins.issubclass}
   280300    0.436    0.000    0.436    0.000 {method 'copy' of 'numpy.ndarray' objects}
   520002    0.433    0.000    0.433    0.000 {built-in method numpy.asarray}
   279400    0.254    0.000    0.428    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/_core/shape_base.py:208(_arrays_for_stack_dispatcher)
  1677601    0.419    0.000    0.419    0.000 {built-in method numpy.asanyarray}
  1859400    0.397    0.000    0.397    0.000 /app/src/mtflib/taylor_function.py:94(get_global_etol)
  1639700    0.393    0.000    0.393    0.000 /app/src/mtflib/taylor_function.py:71(get_global_max_order)
  1739400    0.366    0.000    0.366    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/lib/_type_check_impl.py:171(_is_type_dispatcher)
   559400    0.275    0.000    0.363    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/lib/_arraysetops_impl.py:131(_unpack_tuple)
   540000    0.299    0.000    0.299    0.000 {method 'item' of 'numpy.ndarray' objects}
  1279600    0.276    0.000    0.276    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:3047(_max_dispatcher)
  1118803    0.233    0.000    0.233    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/_core/numeric.py:1478(_moveaxis_dispatcher)
   559400    0.220    0.000    0.220    0.000 {built-in method numpy.ascontiguousarray}
   420000    0.208    0.000    0.208    0.000 {method 'keys' of 'dict' objects}
   279400    0.175    0.000    0.175    0.000 {built-in method builtins.hasattr}
   559400    0.161    0.000    0.161    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2875(_cumsum_dispatcher)
   420001    0.159    0.000    0.159    0.000 {built-in method builtins.iter}
   559400    0.147    0.000    0.147    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/_core/multiarray.py:927(bincount)
   559400    0.143    0.000    0.143    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:3323(_prod_dispatcher)
   420002    0.130    0.000    0.130    0.000 {built-in method builtins.next}
   558800    0.125    0.000    0.125    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/_core/multiarray.py:188(concatenate)
    60001    0.033    0.000    0.122    0.000 <frozen abc>:121(__subclasscheck__)
   559400    0.108    0.000    0.108    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/lib/_arraysetops_impl.py:139(_unique_dispatcher)
   360000    0.107    0.000    0.107    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2584(_all_dispatcher)
   140000    0.095    0.000    0.095    0.000 /app/src/mtflib/taylor_function.py:110(_generate_exponent)
    60001    0.090    0.000    0.090    0.000 {built-in method _abc._abc_subclasscheck}
   279400    0.053    0.000    0.053    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/_core/shape_base.py:76(_atleast_2d_dispatcher)
    20000    0.033    0.000    0.033    0.000 {built-in method builtins.min}
    20000    0.030    0.000    0.030    0.000 {built-in method numpy.zeros}
    40000    0.018    0.000    0.027    0.000 /app/src/mtflib/taylor_function.py:712(convert_to_mtf)
    40000    0.027    0.000    0.027    0.000 {method 'get' of 'dict' objects}
    40000    0.021    0.000    0.021    0.000 {built-in method builtins.abs}
    20000    0.017    0.000    0.017    0.000 {built-in method math.sqrt}
    40001    0.010    0.000    0.010    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/_core/multiarray.py:391(where)
    20000    0.005    0.000    0.008    0.000 /app/src/mtflib/taylor_function.py:673(__eq__)
    20000    0.005    0.000    0.005    0.000 /app/src/mtflib/taylor_function.py:78(get_global_max_dimension)
        2    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/lib/_shape_base_impl.py:518(expand_dims)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/lib/_shape_base_impl.py:514(_expand_dims_dispatcher)
        1    0.000    0.000    0.000    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/_core/numeric.py:1552(_cross_dispatcher)
