         72420 function calls (71299 primitive calls) in 0.113 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       88    0.000    0.000    0.003    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/transforms.py:922(update_from_data_xy)
     1562    0.001    0.000    0.003    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/__init__.py:781(__getitem__)
      500    0.001    0.000    0.003    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
      434    0.001    0.000    0.003    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/figure.py:65(_stale_figure_callback)
      132    0.000    0.000    0.003    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/axis.py:2349(setter)
       44    0.000    0.000    0.003    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/transforms.py:884(update_from_data_x)
      129    0.001    0.000    0.003    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/transforms.py:850(update_from_path)
      428    0.001    0.000    0.003    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/cbook.py:1705(_safe_first_finite)
      569    0.001    0.000    0.003    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/axes/_base.py:605(_axis_map)
      132    0.000    0.000    0.003    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/ticker.py:2249(view_limits)
      129    0.000    0.000    0.002    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/path.py:99(__init__)
       41    0.000    0.000    0.002    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/mpl_toolkits/mplot3d/art3d.py:327(line_2d_to_3d)
     1234    0.001    0.000    0.002    0.000 <frozen abc>:117(__instancecheck__)
       41    0.000    0.000    0.002    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/mpl_toolkits/mplot3d/art3d.py:254(set_3d_properties)
       44    0.001    0.000    0.002    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/cbook.py:1063(_broadcast_with_masks)
      250    0.001    0.000    0.002    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2338(sum)
       44    0.000    0.000    0.002    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/artist.py:1226(_internal_update)
     2867    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
      250    0.000    0.000    0.002    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:3328(prod)
       44    0.000    0.000    0.002    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/artist.py:1188(_update_props)
      346    0.000    0.000    0.002    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/axis.py:1800(convert_units)
      395    0.001    0.000    0.002    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/cbook.py:348(process)
      396    0.000    0.000    0.002    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/_core/getlimits.py:622(tiny)
       40    0.001    0.000    0.002    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/_core/function_base.py:26(linspace)
       44    0.000    0.000    0.002    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/patches.py:934(get_bbox)
      434    0.000    0.000    0.002    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/pyplot.py:1074(_auto_draw_if_interactive)
      264    0.001    0.000    0.002    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/axes/_base.py:73(wrapper)
      511    0.002    0.000    0.002    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1562    0.001    0.000    0.002    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/__init__.py:701(_get)
      346    0.001    0.000    0.002    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/units.py:56(_is_natively_supported)
      273    0.001    0.000    0.002    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/cbook.py:871(get_siblings)
     1234    0.001    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
      129    0.002    0.000    0.002    0.000 {built-in method matplotlib._path.update_path_extents}
      396    0.002    0.000    0.002    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/_core/getlimits.py:599(smallest_normal)
      135    0.001    0.000    0.002    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/lib/_shape_base_impl.py:628(column_stack)
      263    0.000    0.000    0.002    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/artist.py:414(pchanged)
        3    0.000    0.000    0.002    0.001 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/mpl_toolkits/mplot3d/art3d.py:433(__init__)
        3    0.000    0.000    0.002    0.001 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/axes/_base.py:2349(add_collection)
        3    0.000    0.000    0.002    0.001 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/collections.py:1598(__init__)
      434    0.000    0.000    0.001    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/__init__.py:1342(is_interactive)
        3    0.000    0.000    0.001    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/collections.py:78(__init__)
       85    0.000    0.000    0.001    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:481(broadcast_arrays)
       85    0.000    0.000    0.001    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/artist.py:1105(set_label)
      299    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
       44    0.000    0.000    0.001    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/transforms.py:805(from_extents)
      314    0.001    0.000    0.001    0.000 {built-in method builtins.any}
